start_node,end_node,path_lon_lat
Weggis,Luzern,"[[8.43324325387838,47.03147622427115],[8.422635930754055,47.0248012858762],[8.397446225704618,47.020197982276564],[8.386732448847853,47.020012261263815],[8.377802213861655,47.02098059150238],[8.367361102943553,47.02377815125745],[8.360907798816694,47.02587862909672],[8.347783392425292,47.03172669347307],[8.339078904051735,47.039100940122985],[8.332772453457146,47.04554787440435],[8.326597175858922,47.04940753910016],[8.322202437817001,47.0518649823767],[8.317226630744658,47.05286821250999],[8.314932003026499,47.05306185231092],[8.313840046981793,47.05285776418906],[8.312051698519712,47.052175559056984],[8.310126068671433,47.051445723846626]]"
Luzern,Küsnacht_am_Rigi,"[[8.310612826192598,47.05019906150277],[8.31067174456685,47.04699057606235],[8.310235021163553,47.04547941348771],[8.30930687244402,47.04417457665264],[8.307956020419866,47.04345622635536],[8.306334308945722,47.04308470962551],[8.304236841298062,47.04312495710658],[8.302882349383617,47.0434728749751],[8.301937287991592,47.04399584894145],[8.300940808482004,47.04494990852976],[8.300599445518666,47.04551851614664],[8.297431782019235,47.05057120665956],[8.296929401302192,47.05232656736826],[8.296991902635696,47.05322256516005],[8.297274709984794,47.05367740552235],[8.29773254040947,47.054222468619166],[8.29839095910471,47.05461527153069],[8.299359584263803,47.054979281079945],[8.300656588329105,47.055170742303055],[8.301772181679224,47.05537880612766],[8.30275199956669,47.05574548389298],[8.306877193474847,47.0595810175594],[8.308232928239326,47.06015595167133],[8.309493302975987,47.06029014985583],[8.310810853175125,47.06016766891281],[8.324347824025324,47.057087596647456],[8.325299830001358,47.05665654225387],[8.3264238037011,47.0558845701924],[8.327339584644793,47.055518258322884],[8.328877407446,47.05526734591492],[8.330567383460934,47.05513488197359],[8.332783924695569,47.05471060193015],[8.339801419638205,47.053422633327266],[8.340739725860157,47.053105914337024],[8.341568468350914,47.05267780633491],[8.342454436086125,47.05196111825696],[8.343084659381665,47.050847190480674],[8.343998954469043,47.04920519673741],[8.345118029921844,47.04697745235416],[8.345957961882245,47.04634188564676],[8.347638296269867,47.04540247070517],[8.349259238108447,47.04432802143927],[8.350323512582802,47.0435115698934],[8.35114429237967,47.0427660547948],[8.35236713356289,47.041421449852116],[8.35325395876077,47.04035563155871],[8.354071528025127,47.03960658821134],[8.355069751592605,47.03913918270309],[8.356220492895396,47.03881493376022],[8.357749062596097,47.03872834292109],[8.361401690048313,47.03920280490728],[8.364849225848932,47.0398667423616],[8.36742101192109,47.04076096975795],[8.37214489767345,47.04391366796868],[8.379855915193804,47.04814427817082],[8.385642692775843,47.05141336500738],[8.387927818545446,47.05237042333258],[8.392124613441359,47.05390469940492],[8.392941601812694,47.054487105129965],[8.395800104411327,47.057456470277245],[8.398830988809555,47.059560353563114],[8.4005980920079,47.061736949600935],[8.40334810230013,47.064068119127064],[8.406856174185593,47.06693519053057],[8.411166591266829,47.06820441359663],[8.413860314782795,47.06888566576263],[8.415846973876956,47.070053255267126],[8.419913850430016,47.07186246570972],[8.424850789153759,47.07456063154198],[8.428492221128515,47.077768975549795],[8.431334976730328,47.08097002534751],[8.433258251605716,47.08368578850455]]"
Küsnacht_am_Rigi,Arth_Goldau,"[[8.433159094675766,47.08357920684648],[8.436680465205994,47.08668623684266],[8.4380938713068,47.08740587166386],[8.44028748439705,47.087957641077544],[8.445594908133193,47.09023928923869],[8.44666786986981,47.09111553201906],[8.447496843188802,47.092732559066285],[8.448193955423354,47.09361516879921],[8.449403152451923,47.094151329227365],[8.454580536283082,47.09567311791707],[8.455956465314733,47.095806466307145],[8.457115473956613,47.095651487818024],[8.458129605181982,47.09533319306465],[8.458962392889191,47.094695165550405],[8.460736585524435,47.09315134505305],[8.466441003094017,47.08906841083448],[8.468773517643019,47.08720343444715],[8.470222762960303,47.08604165857736],[8.471867666168988,47.08513339398997],[8.47476120703446,47.08390234904133],[8.476153948445763,47.08290376900646],[8.47741430719272,47.08171425218809],[8.479380003489872,47.08081237236228],[8.48133733218449,47.079518306047376],[8.482357618144151,47.078808473509554],[8.483446075221622,47.078404520531116],[8.485730236966189,47.077746585971816],[8.48725204240332,47.076450567153316],[8.488148120587748,47.07584971630618],[8.493313703155522,47.07369988116938],[8.500045151093483,47.070694600972175],[8.50195513132388,47.069620153750385],[8.505059365708211,47.067404154267315],[8.50596821008628,47.065697083092196],[8.506231045492614,47.064346598941896],[8.508249986247149,47.06277431996898],[8.509587977433393,47.06129364411612],[8.509885714971833,47.0602434657448],[8.511082743206506,47.05939012067625],[8.512364647330537,47.05836637854461],[8.513378641479521,47.05706792670362],[8.514286991161924,47.055794325433396],[8.51738560731234,47.054220811372126],[8.519798448019154,47.053268116281295],[8.522341103978281,47.05275189007689],[8.524628444886432,47.05247875436211],[8.525770405674292,47.05188050885904],[8.52719061865258,47.051134642205085],[8.530796481792242,47.05055972559177],[8.533957364605621,47.050089596050604],[8.53637315193692,47.049406119240345],[8.538140341128846,47.049353120525666],[8.53997633641881,47.0496259039639],[8.542720989930867,47.04934491517455],[8.547162886034197,47.04898433527285],[8.551256428399942,47.04877300283384]]"
Rigi,Arth_Goldau,"[[8.485751470863443,47.05508197689928],[8.484832276604415,47.05522481933592],[8.483842517926144,47.05511553896545],[8.48285833920545,47.05503264858323],[8.481999380842153,47.055035361528034],[8.481187803248321,47.05484671328519],[8.4800741535082,47.0545812986823],[8.479229480192162,47.05445555877909],[8.478208870390267,47.054513681044526],[8.476944706010295,47.05468391775081],[8.475940825582782,47.054758561906375],[8.474843665855047,47.05425833488087],[8.473800611451301,47.05332838710964],[8.472329581081146,47.05043472404973],[8.472286246054532,47.04990970051553],[8.4727195381283,47.049162561189455],[8.47336798373855,47.04855579062126],[8.476401430667066,47.047315426129366],[8.483383016858967,47.043088670080635],[8.484321347501556,47.04288940906127],[8.485414712968863,47.04291585812717],[8.48694884537214,47.042629305091786],[8.490691802536682,47.040550857867],[8.493626224755461,47.038011283619696],[8.49541328494006,47.037911776339755],[8.497326985767693,47.03732423781933],[8.502171288996882,47.03745153853865],[8.504584881351,47.03839398393601],[8.50649457820315,47.038206250195316],[8.508420832862596,47.03831556144162],[8.514884438539031,47.03850075590738],[8.51690894071653,47.039938355675964],[8.518542507749276,47.040661051204054],[8.519755912933592,47.04061412792802],[8.524330707738448,47.038858919855876],[8.52565411688977,47.03861442599491],[8.526801453190746,47.0386421355233],[8.528586919256176,47.039473734618774],[8.530621854151638,47.04023204156644],[8.53273656841586,47.04065592507628],[8.534247778910025,47.04060045976186],[8.535725043080454,47.04070384196712],[8.537576795044982,47.04133792702918],[8.539986792625982,47.041236446397825],[8.544635736311497,47.041640586084895],[8.545963252594342,47.04208087752446],[8.546945479056694,47.043022874233124],[8.547258828524049,47.04428448498061],[8.54728936263521,47.04585179555228],[8.546988856244026,47.046662249848985],[8.547091375307426,47.04744612019319],[8.547580564747587,47.048157403045515],[8.547763356066797,47.04870017311269]]"
