Geoposition;Geo Shape;SPURWEITE;KM Ende;KM Anfang;BP Anfang;BP Anfang;BP Ende;BP Ende;Linie;Linien Text
46.22531438108045, 9.041264497611824;"{""coordinates"": [[9.041065274204794, 46.227707035254355], [9.041072755789669, 46.22761723311313], [9.041080237085001, 46.227527421978], [9.041087705661564, 46.22743762002019], [9.041095186907423, 46.2273478088847], [9.041102668393338, 46.22725800674279], [9.04111014958971, 46.227168195607], [9.04111761806739, 46.22707839364851], [9.041125099214335, 46.22698858251238], [9.04113258060124, 46.22689878036978], [9.041140061698641, 46.22680896923334], [9.041147530077499, 46.22671916727415], [9.041155011125433, 46.22662935613733], [9.041162492413378, 46.226539553994115], [9.04116997341182, 46.226449742856914], [9.0411774416918, 46.22635994089709], [9.041184922640776, 46.2262701297596], [9.04119240382976, 46.226180327615694], [9.041199871770838, 46.22609051666165], [9.041207352910359, 46.226000714517404], [9.04121483402513, 46.22591091237301], [9.0412223148504, 46.2258211012347], [9.041229782957366, 46.22573129927368], [9.041237263733166, 46.22564148813507], [9.041244744748985, 46.22555168599001], [9.041252225475295, 46.22546187485099], [9.041259693483397, 46.22537207288941], [9.04126717416024, 46.225282261750024], [9.041274655077107, 46.22519245960435], [9.041282135704462, 46.225102648464734], [9.041289603613695, 46.22501284650242], [9.041297084191585, 46.22492303536248], [9.0413045650095, 46.22483323321611], [9.041312032579821, 46.2247434222596], [9.041319513348274, 46.224653620112875], [9.04132699382721, 46.224563808972306], [9.041334474546176, 46.22447400682524], [9.041341942017626, 46.22438419586808], [9.04134942268713, 46.224294393720726], [9.04135690306712, 46.22420458257947], [9.041364383687137, 46.22411478043181], [9.041371851324506, 46.224024978467746], [9.041379331630285, 46.22393516732604], [9.041386812176102, 46.22384536517784], [9.04139427947455, 46.223755554219565], [9.041401759970906, 46.22366575207109], [9.041409240177739, 46.223575940928725], [9.041416720624612, 46.22348613877992], [9.0414241878242, 46.22339632782103], [9.041431668221609, 46.22330652567189], [9.041439148329497, 46.22321671452887], [9.041446628677425, 46.22312691237948], [9.041454095778153, 46.223037101419884], [9.041461576076625, 46.22294729927013], [9.041463700950176, 46.222921725236404]], ""type"": ""LineString""}";N;146992.153;147525.0;CAOS;Castione Officine Sud (bif);CAST;Castione-Arbedo;600;Immensee - Bellinzona - Chiasso
47.091130848447406, 8.446691971664231;"{""coordinates"": [[8.433332642922778, 47.08369115447327], [8.43341293162024, 47.08376245158484], [8.433493246532853, 47.083833730422676], [8.433573561826199, 47.08390501819747], [8.433653877166394, 47.08397629692069], [8.433734192887394, 47.084047584580865], [8.43381450882216, 47.08411887218373], [8.433894824803737, 47.084190150735125], [8.433975141166112, 47.084261438223336], [8.434055457575276, 47.08433271666014], [8.434135761197526, 47.084404004147906], [8.434216078034257, 47.08447528247006], [8.43429639525185, 47.08454656972915], [8.434376712683259, 47.084617856930926], [8.43445703016139, 47.084689135081206], [8.434537348020417, 47.08476042216839], [8.434617665926144, 47.08483170020405], [8.434697984212795, 47.0849029871766], [8.43477830254612, 47.084974265097635], [8.4348586212604, 47.08504555195567], [8.434938927020587, 47.08511683887051], [8.435019245995303, 47.085188116619705], [8.43509956535102, 47.085259403305734], [8.435179884753342, 47.08533068094033], [8.435260204536691, 47.08540196751179], [8.435340524366618, 47.08547324503174], [8.435420844577607, 47.085544531488594], [8.435501165002467, 47.085615817888126], [8.435581485473822, 47.085687095236196], [8.435661806326275, 47.085758381521096], [8.435742114057105, 47.08582965886882], [8.435822435337187, 47.08590094503915], [8.435902756663802, 47.08597222215798], [8.43598307837153, 47.0860435082137], [8.436063400293087, 47.08611479421212], [8.436143722261091, 47.08618607115901], [8.4362240446103, 47.08625735704276], [8.436304497348981, 47.08632856077795], [8.436385537347755, 47.086399462500886], [8.436467620808624, 47.08646980636984], [8.436551229601156, 47.08653930033623], [8.436636780256313, 47.08660767990444], [8.436724714972037, 47.086674644372145], [8.436815409266947, 47.08673984863637], [8.436909160821259, 47.08680301123875], [8.437005941120455, 47.08686401547613], [8.437105617139121, 47.086922790531645], [8.43720810869095, 47.08697927412511], [8.43731329591547, 47.087033395325555], [8.437421046117159, 47.08708510130526], [8.437531252935765, 47.087134339007676], [8.437643796505734, 47.087181037502674], [8.43775854462979, 47.08722517094598], [8.437875377606929, 47.087266677402376], [8.43799403457097, 47.08730569406941], [8.43811415299753, 47.08734255693439], [8.43823543654174, 47.087377619401714], [8.43835757602803, 47.08741125297994], [8.438480328293283, 47.08744383760005], [8.438603450009735, 47.087475744199935], [8.43872673802893, 47.08750737935143], [8.438850038690914, 47.08753897827896], [8.43897333966631, 47.0875705860679], [8.439096602288908, 47.08760224803347], [8.43921967424522, 47.08763427135458], [8.439342312555672, 47.087667044961705], [8.439464325910178, 47.08770090336218], [8.439585610813953, 47.087735946411904], [8.439706141104544, 47.08777218333681], [8.439825903451814, 47.087809605259864], [8.439944871020867, 47.08784818543032], [8.440063004647948, 47.08788794218335], [8.44018030383484, 47.087928848538915], [8.440296715744534, 47.087970895964574], [8.440412240382425, 47.088014084462934], [8.440526953907481, 47.088058260446424], [8.440641139645038, 47.088103079611344], [8.440755067749796, 47.08814819776782], [8.440868970550024, 47.08819336101153], [8.44098287337416, 47.088238515147594], [8.441096776390424, 47.08828366917018], [8.44121066642998, 47.08832882319426], [8.441324569830387, 47.08837397698992], [8.441438473422824, 47.088419130672136], [8.441552377207337, 47.08846428424087], [8.441666281183979, 47.08850943769624], [8.441780185352645, 47.088554591038076], [8.441894076544639, 47.08859974438138], [8.442007981097452, 47.08864489749638], [8.44212188584234, 47.08869005049784], [8.442235790947775, 47.08873521238006], [8.442349696076839, 47.08878036515457], [8.442463601397977, 47.08882551781566], [8.442577493742375, 47.08887067047831], [8.442691399447664, 47.0889158229125], [8.442805305345074, 47.08896097523319], [8.442919211434516, 47.08900612744044], [8.443033117716034, 47.08905127953423], [8.443146998357584, 47.08909645872736], [8.443260763368468, 47.08914178275042], [8.443374283420699, 47.08918737867398], [8.443487455693258, 47.089233382332964], [8.443600150859485, 47.08927992079888], [8.443712266099876, 47.08932712990748], [8.443823697246158, 47.08937507354143], [8.443934431300782, 47.08942376081225], [8.444044468097793, 47.08947318272754], [8.444153807470993, 47.08952333029517], [8.444262409915806, 47.08957420386294], [8.444370288603691, 47.08962580331763], [8.444477430198997, 47.08967811978227], [8.444583808197047, 47.08973114449537], [8.444689422599689, 47.089784877459095], [8.444794273240072, 47.08983930968117], [8.44489834695081, 47.089894441279135], [8.445001617057647, 47.0899502544973], [8.445104083899825, 47.090006767326216], [8.44520574680309, 47.090063943791286], [8.44530659310638, 47.09012181099261], [8.445406595796774, 47.09018033318613], [8.445505755213164, 47.090239528362666], [8.445604084187632, 47.090299378420504], [8.445701530044238, 47.09035988382332], [8.44579789794963, 47.090421190211934], [8.445892810729557, 47.09048355277405], [8.445985825532636, 47.090547236270105], [8.446076485661328, 47.09061246960049], [8.446164347586414, 47.090679481551575], [8.446248965748303, 47.0907483929805], [8.446330234281573, 47.090819177835904], [8.446408045966562, 47.09089173811272], [8.44648232076599, 47.090966020545956], [8.44655297762637, 47.091041917905294], [8.44661994950763, 47.09111936781563], [8.446683155691522, 47.09119828103486], [8.446742515458164, 47.09127856832055], [8.446797987763908, 47.091360149077545], [8.446849622903965, 47.09144289693068], [8.446897812056907, 47.09152660155209], [8.446943039096608, 47.091611078786535], [8.446985788068371, 47.09169615347201], [8.44702655686618, 47.09178168630664], [8.447065856556423, 47.091867537872204], [8.44710418554624, 47.091953595847855], [8.447142068415644, 47.09203973868671], [8.447179899066956, 47.092125899962184], [8.447217847859061, 47.092212033200624], [8.447256413547548, 47.09229804406731], [8.447296133722848, 47.09238380190332], [8.447337572487, 47.09246918481181], [8.44738128009857, 47.09255403503412], [8.447427767309534, 47.092638195157434], [8.447477570367361, 47.09272146256581], [8.447531172504027, 47.0928036171163], [8.44758879457274, 47.09288449494262], [8.447650369045041, 47.09296400667519], [8.447715841391506, 47.09304205383443], [8.447785117741178, 47.093118547281605], [8.447858143730924, 47.09319339753088], [8.447934825655933, 47.09326652443732], [8.448015069809646, 47.09333784785588], [8.448098795653864, 47.093407287525864], [8.44818589596977, 47.09347474542939], [8.448276277553978, 47.093540168403926], [8.44836983352315, 47.09360347642004], [8.448466470162026, 47.09366458933268], [8.44856606758321, 47.09372343622253], [8.448668519406398, 47.093779964043], [8.448773705571108, 47.09383409288102], [8.448881493523116, 47.0938857789161], [8.448991776368599, 47.09393494211991], [8.449104421889164, 47.09398155666092], [8.449219155538138, 47.09402573289466], [8.449335561968091, 47.09406779831206], [8.449453305531812, 47.094108115687135], [8.449572037414054, 47.09414704791108], [8.449691474652104, 47.09418495729714], [8.449811335134138, 47.09422225113045], [8.44993136241256, 47.09425930048893], [8.450051402687723, 47.09429633161736], [8.450171429789005, 47.09433335374173], [8.450291470396246, 47.09437038461857], [8.450411497999252, 47.09440741548551], [8.450531525768318, 47.09444444622672], [8.450651566873626, 47.09448147672613], [8.450771594974722, 47.0945185072157], [8.450891636412031, 47.09455553746356], [8.451011664845154, 47.094592567701596], [8.451131706614508, 47.094629597697775], [8.451251735379662, 47.094666627684205], [8.451371777481059, 47.094703657428816], [8.451491806408253, 47.0947406781695], [8.451611848841722, 47.09477770766251], [8.451731878270909, 47.09481473714579], [8.451851921036374, 47.09485176638712], [8.451971950797583, 47.09488879561883], [8.452091993895092, 47.0949258246086], [8.452212023988327, 47.09496285358868], [8.452332067417927, 47.094999882326825], [8.452452097843139, 47.09503691105536], [8.4525721284344, 47.09507393965807], [8.452692172362056, 47.09511096801883], [8.452812203115135, 47.09514798737582], [8.452932247374756, 47.095185015484915], [8.45305227863005, 47.0952220435845], [8.453172323221711, 47.09525907144201], [8.45329235480902, 47.09529609928994], [8.45341239973277, 47.09533312689582], [8.453532431652048, 47.09537015449219], [8.453652476907836, 47.09540718184641], [8.453772508988811, 47.09544420019709], [8.453892644213763, 47.095481091572694], [8.454013099322433, 47.09551747623989], [8.454134143392611, 47.09555295601019], [8.45425596647637, 47.095587133392726], [8.454378797963495, 47.09561960155206], [8.454502788047009, 47.09564994535653], [8.454628060404733, 47.095677740912336], [8.454754596222513, 47.095702691524565], [8.454882289265115, 47.09572475314992], [8.455010980614283, 47.095743882211835], [8.455140538544926, 47.09576007987191], [8.455270817478294, 47.09577331143244], [8.455401672347016, 47.09578356917865], [8.455532944912717, 47.095790845513086], [8.45566450310716, 47.09579512361174], [8.455796202203235, 47.09579641375002], [8.455927883620516, 47.095794690344256], [8.456059415973208, 47.095789972548836], [8.456190641363781, 47.095782270758015], [8.45632141472412, 47.095771577261736], [8.456451604669128, 47.0957579112163], [8.456581040302728, 47.09574129212881], [8.456709603240556, 47.095721730046066], [8.45683713592921, 47.0956992533538], [8.456963493815604, 47.095673881327656], [8.45708854585983, 47.09564565111534], [8.457212147510715, 47.095614581993544], [8.457334167901355, 47.095580720105325], [8.457454462824698, 47.09554410271668], [8.45757291424468, 47.09550475786654], [8.457689365128347, 47.095462740927125], [8.457803710954844, 47.09541809780958], [8.457915794523037, 47.095370874892936], [8.458025524485377, 47.09532111797227], [8.458132757327535, 47.0952689002929], [8.458237388534622, 47.09521426776737], [8.458339287423764, 47.09515727553642], [8.458438349996719, 47.09509799649546], [8.458534459086723, 47.09503650365718], [8.458627523526902, 47.09497285181212], [8.458717613106053, 47.0949072472486], [8.458804929488547, 47.094839904079414], [8.458889701193977, 47.09477106316513], [8.458972169227984, 47.094700929271944], [8.459052600765835, 47.09462969793701], [8.459131276152892, 47.094557564579894], [8.459208501561005, 47.09448469740271], [8.459284569991302, 47.09441126472375], [8.459359787443079, 47.09433742574938], [8.459434486255303, 47.09426333945107], [8.459508959084216, 47.09418915615631], [8.45958343136409, 47.094114954823745], [8.4596579302918, 47.09404078019009], [8.459732575083349, 47.09396666717863], [8.459807498981261, 47.09389269556609], [8.45988283454208, 47.093818909152155], [8.459958715007717, 47.09374538771299], [8.460035286618151, 47.09367220191291], [8.460112655760343, 47.09359940477898], [8.46019095584669, 47.09352708508024], [8.460270319603612, 47.09345529560886], [8.460350867273126, 47.09338412525031], [8.460402324749696, 47.093339588851165]], ""type"": ""LineString""}";N;16193.95;18920.257;KUE;Küssnacht am Rigi;IMW;Immensee West (Abzw);570;Gütsch - Küssnacht - Immensee
47.074158172187076, 8.42222854971854;"{""coordinates"": [[8.409076627619282, 47.06762630142575], [8.40919990321625, 47.067657860044775], [8.409323179121271, 47.06768942752545], [8.409446455008727, 47.06772098587922], [8.409569731204279, 47.0677525530946], [8.409693007382172, 47.06778411118309], [8.40981628386825, 47.06781567813319], [8.409939560499609, 47.06784724495064], [8.41006283711329, 47.06787880264121], [8.410186114035172, 47.067910369193406], [8.410309390939341, 47.06794192661863], [8.410432668151747, 47.0679734929055], [8.410555945346397, 47.068005050065494], [8.410679222849332, 47.06803661608714], [8.410802500334462, 47.068068172981796], [8.410925778127913, 47.06809973873808], [8.411049055903526, 47.0681312953675], [8.411172333987503, 47.06816286085853], [8.4112956122167, 47.068194426216905], [8.411418890428038, 47.06822598244837], [8.411542168947802, 47.06825754754144], [8.41166544744962, 47.068289103507645], [8.411788726259903, 47.06832066833544], [8.411912005052194, 47.068352224036325], [8.41203528415299, 47.06838378859882], [8.41215856323576, 47.06841534403441], [8.41228184262707, 47.06844690833161], [8.412405122000308, 47.06847846350191], [8.412528401682133, 47.06851002753384], [8.412651681345842, 47.068541582438804], [8.412774935970772, 47.06857320039439], [8.412897986491952, 47.06860517078063], [8.413020641990391, 47.068637855044265], [8.413142671731004, 47.06867159697945], [8.413263845308299, 47.06870675836962], [8.41338389233682, 47.068743674351715], [8.413502515941863, 47.06878267129286], [8.413619392595308, 47.06882405779622], [8.413734274810029, 47.06886797989886], [8.413847043303583, 47.068914393641315], [8.413957578792003, 47.0689632550643], [8.41406586517522, 47.06901440238912], [8.41417210719405, 47.06906751003947], [8.41427660140819, 47.06912223366668], [8.414379618211118, 47.069178238139074], [8.41448148114185, 47.06923521485929], [8.414582553230629, 47.06929285489328], [8.414683171342412, 47.069350858523634], [8.414783672996162, 47.06940896200893], [8.41488418786827, 47.06946705629931], [8.41498468995808, 47.0695251596071], [8.415085192102053, 47.069583253831915], [8.415185707628153, 47.06964134785606], [8.415286378885096, 47.0696993055342], [8.415387504716966, 47.06975690842871], [8.415489343983111, 47.069813911454], [8.415592168870305, 47.06987007840589], [8.415696225400085, 47.06992518229729], [8.415801616425224, 47.069979087315126], [8.415908302449878, 47.07003179379158], [8.416016256650389, 47.07008327496442], [8.416125452530343, 47.07013352205988], [8.416235837592497, 47.07018254451692], [8.416347230156282, 47.07023048780917], [8.416459449033544, 47.07027752439375], [8.416572313037042, 47.07032382672852], [8.416685667472859, 47.07036957604195], [8.416799331483517, 47.07041496278178], [8.416913163377401, 47.07046015907148], [8.417027008135346, 47.07050532815289], [8.417140866249689, 47.070550497008746], [8.417254711391607, 47.07059566586336], [8.417368569889943, 47.070640834492494], [8.41748241541583, 47.070686003120386], [8.417596196789509, 47.07073125314424], [8.417709707814666, 47.07077682920483], [8.417822703131401, 47.07082299426882], [8.417934937216996, 47.07087000230967], [8.418046190878897, 47.07091810707711], [8.418156152609908, 47.07096755411346], [8.418264654398476, 47.07101851577292], [8.418371590440515, 47.07107096597511], [8.418476973576011, 47.07112488662357], [8.418580931838006, 47.071180078725625], [8.418683697752515, 47.07123629741819], [8.418785556338575, 47.07129328839375], [8.418886779614072, 47.07135080645042], [8.418987639925223, 47.07140862437368], [8.419088409453066, 47.07146650595404], [8.41918917936316, 47.07152439643945], [8.419289949491098, 47.07158228683569], [8.419390719836786, 47.07164017714268], [8.41949150323588, 47.07169804925954], [8.41959252036131, 47.07175573038409], [8.419694095557471, 47.071812956871156], [8.419796540003501, 47.07186946518687], [8.419900151054522, 47.07192495593183], [8.42000520055818, 47.07197917490168], [8.420111816865907, 47.072031941082486], [8.420219960314716, 47.07208324581318], [8.420329552076169, 47.07213309875878], [8.420440319472993, 47.07218170914625], [8.420551978146255, 47.07222936726416], [8.420664256573506, 47.072276345301184], [8.420776857563158, 47.07232295164935], [8.420889562254759, 47.07236945804913], [8.421002266977302, 47.07241595534353], [8.421114958895432, 47.072462461633634], [8.42122766400929, 47.07250895870569], [8.421340356483604, 47.072555473767814], [8.421452868307558, 47.072602179175135], [8.42156492879021, 47.07264939209281], [8.421676253912496, 47.072697420805525], [8.42178653299714, 47.072746555835884], [8.421895442532985, 47.07279710580868], [8.422002644690187, 47.07284931650305], [8.4221079441442, 47.07290330653969], [8.422211300414741, 47.07295902229646], [8.422312725020568, 47.073016373723355], [8.422412476148676, 47.073075079748506], [8.422510890314733, 47.07313482264557], [8.422608305023799, 47.073195338652496], [8.42270505745025, 47.07325634601761], [8.422801511263152, 47.07331757175675], [8.422897926296637, 47.07337882473515], [8.422994354550546, 47.073440068524704], [8.423090770025022, 47.07350132133952], [8.423187198885142, 47.0735625739597], [8.423283614635437, 47.07362381761666], [8.423380043936577, 47.07368507007316], [8.42347646029305, 47.073746322560766], [8.423572889869948, 47.07380756585942], [8.423669306667419, 47.07386881818336], [8.423765736850624, 47.073930070312606], [8.423862153923825, 47.07399131347874], [8.423958558382825, 47.07405257466447], [8.424054742228714, 47.074113999584846], [8.42415030262883, 47.0741758795579], [8.424244862419936, 47.074238469699885], [8.424338005273567, 47.074302043455916], [8.424429314364966, 47.07436684728943], [8.42451845037222, 47.07443304603916], [8.424605334136729, 47.07450063139372], [8.424689977333239, 47.07456952229709], [8.424772678958105, 47.07463950928684], [8.42485385550341, 47.074710327917145], [8.42493393695808, 47.074781731616035], [8.425013353311876, 47.07485347381067], [8.425092548217103, 47.074925334796326], [8.425171743334817, 47.074997195726375], [8.42525092549951, 47.07506905671367], [8.425330108042186, 47.075140926639456], [8.425409303797347, 47.07521278740225], [8.425488486599427, 47.075284648222315], [8.425567865441591, 47.07535641734751], [8.425647765986284, 47.075427903070235], [8.425728579889965, 47.07549892211065], [8.4258106456509, 47.07556926465747], [8.425894184436494, 47.07563878487669], [8.425979209082966, 47.07570746466343], [8.426065705929378, 47.0757752771449], [8.426153661645781, 47.075842213436715], [8.426242958570565, 47.0759083195255], [8.426333283710242, 47.075973760021384], [8.426424285733694, 47.0760387628346], [8.426515652475334, 47.07610353754861], [8.426607071272175, 47.07616826676479], [8.426698490455777, 47.07623300490147], [8.426789922860337, 47.07629773385701], [8.426881342320051, 47.07636246285202], [8.426972762000762, 47.07642719177335], [8.427064182068197, 47.076491929615194], [8.42715542019077, 47.07655678589454], [8.427246085870578, 47.07662200685553], [8.427335775941375, 47.076687865839354], [8.427424073241298, 47.07675459133075], [8.427510534607771, 47.076822430030745], [8.427594716047873, 47.07689158367047], [8.427676421397223, 47.07696212590911], [8.427755583660861, 47.07703399435901], [8.42783238483484, 47.077107061518895], [8.427907228247424, 47.07718106304568], [8.42798054438951, 47.077255779339545], [8.428052789918864, 47.07733098157871], [8.428124421660817, 47.07740644993411], [8.42819587077375, 47.07748200077952], [8.428267333420346, 47.07755756046001], [8.428338782936427, 47.07763311121396], [8.42841023265407, 47.07770866192227], [8.428481682573274, 47.07778421258484], [8.428553146026262, 47.07785977208247], [8.428624596348618, 47.077935322653616], [8.428696046872536, 47.07801087317906], [8.428767497764138, 47.078086432653066], [8.428838961857412, 47.07816198297357], [8.42891041298605, 47.078237533361865], [8.428981864316262, 47.07831308370448], [8.429053316014203, 47.07838864299563], [8.429124780913847, 47.07846419313325], [8.429196232848787, 47.07853974333875], [8.429267685151498, 47.07861530249274], [8.429339150655982, 47.07869085249322], [8.42941060319561, 47.078766402561534], [8.429482055936859, 47.07884195258415], [8.429553509045931, 47.07891751155527], [8.429624975356804, 47.07899306137292], [8.4296964287028, 47.07906861125837], [8.429767882250369, 47.07914416109813], [8.429839336165765, 47.07921971988643], [8.429910803283034, 47.079295269521154], [8.429982257435361, 47.07937081922381], [8.430053711955605, 47.079446377874916], [8.430125166511093, 47.07952192748611], [8.430196634434727, 47.07959747693791], [8.430268050226292, 47.07967304478711], [8.430339192049683, 47.07974874089668], [8.430409706900859, 47.079824703249635], [8.430479255107443, 47.07990107871039], [8.430547470662676, 47.0799780143715], [8.430614013558758, 47.08005563911047], [8.430678556121071, 47.08013403672076], [8.430741045676601, 47.08021320766045], [8.430801468719284, 47.08029313405817], [8.430860033746665, 47.0803736971727], [8.430917080758444, 47.08045476813074], [8.43097296275594, 47.080536208950335], [8.431028059575217, 47.08061790840403], [8.43108272438748, 47.080699737502556], [8.431137284697883, 47.08078160346058], [8.431191858341954, 47.08086346927746], [8.431246418819416, 47.08094532618647], [8.431300992797125, 47.081027191948564], [8.43135555377473, 47.081109057797036], [8.431410127919515, 47.0811909145101], [8.431464689230717, 47.08127278030381], [8.431519250708721, 47.0813546460701], [8.431573825353935, 47.081436502701], [8.43162838716554, 47.08151836841255], [8.431682962311, 47.08160023398289], [8.431737524289597, 47.081682090645444], [8.431792099768707, 47.081763956160984], [8.43184666224754, 47.081845821762954], [8.431901238060309, 47.081927687223754], [8.431955800706099, 47.0820095437767], [8.432010376852524, 47.082091409182695], [8.4320649399986, 47.08217327467512], [8.432119516311996, 47.08225513103207], [8.43217407979169, 47.082336996469756], [8.43222865660544, 47.08241886176612], [8.43228324641992, 47.082500708932805], [8.432338150916259, 47.082582472390676], [8.432393801783292, 47.08266399547907], [8.432450644045769, 47.082745130416704], [8.432509109563192, 47.08282572953513], [8.432569616529165, 47.08290561829666], [8.432632412963118, 47.082984677608465], [8.432697524373271, 47.08306286226802], [8.432764910596864, 47.08314013663632], [8.432834544971808, 47.08321648294886], [8.432906400334963, 47.083291856458494], [8.432980436855539, 47.08336623951446], [8.43305652336379, 47.083439660235015], [8.433134241339383, 47.08351227516523], [8.433213185928707, 47.08358426771982], [8.43329296561125, 47.08365583019489], [8.433332642922778, 47.08369115447327]], ""type"": ""LineString""}";N;13549.0;16193.95;MERL;Merlischachen;KUE;Küssnacht am Rigi;570;Gütsch - Küssnacht - Immensee
47.0446257763533, 8.539951628016158;"{""coordinates"": [[8.530456955362355, 47.04020666929196], [8.549446300669961, 47.04904488341464]], ""type"": ""LineString""}";N;0.0;2070.0;GD;Arth-Goldau;KRAE;Kräbel;602;Arth Goldau - Rigi Kulm
